movie_id,title,budget,revenue,runtime,release_month,release_year,release_dow,actor_gender,actor_credits,actor_net_to_date,producer_gender,producer_credits,producer_net_to_date,writer_gender,writer_credits,writer_net_to_date,director_gender,director_credits,director_net_to_date,genre_count,language_count,net,target
1493,Miss Congeniality,45000000,212000000,111,12,2000,3,1,6,127044219,1,0,0,2,0,0,2,2,-21356686,3,4,167000000,1
7350,The Bucket List,45000000,175372502,97,12,2007,1,2,12,1121546475,2,5,349701065,2,0,0,2,8,356410117,2,1,130372502,1
146233,Prisoners,46000000,122126687,153,9,2013,2,2,8,1303381887,2,2,122176919,2,0,0,2,1,303838,3,1,76126687,1
36647,Blade,45000000,131183530,120,8,1998,4,2,2,-16144973,0,0,0,2,0,0,2,0,0,2,2,86183530,1
6282,Coyote Ugly,45000000,113916474,100,7,2000,6,1,0,0,2,13,2461518826,1,0,0,2,0,0,1,1,68916474,1
9981,Kicking & Screaming,45000000,56070433,95,5,2005,4,2,3,219303871,2,0,0,2,0,0,2,2,195604638,3,2,11070433,1
15045,Fat Albert,45000000,48563556,93,12,2004,6,2,0,0,2,13,1268690692,2,0,0,2,1,363744044,3,1,3563556,1
232672,Blended,40000000,123494610,117,5,2014,2,1,10,288066733,2,8,501558724,2,0,0,2,5,401443857,1,1,83494610,1
2207,16 Blocks,55000000,65664721,105,3,2006,2,2,19,2026578447,2,0,0,2,0,0,2,10,712818103,4,1,10664721,1
9457,Deep Rising,45000000,11203026,106,1,1998,4,2,0,0,2,1,17603594,2,0,0,2,1,17603594,4,2,-33796974,0
12412,Miracle at St. Anna,45000000,9323833,160,9,2008,0,2,1,10867586,2,6,74355410,2,0,0,2,14,220825859,2,3,-35676167,0
38153,Shadow Conspiracy,45000000,2154540,103,1,1997,4,2,2,29648069,0,0,0,0,0,0,2,2,287905497,2,2,-42845460,0
27573,The Bounty Hunter,40000000,136000000,110,3,2010,1,2,6,416963026,2,18,1216583313,1,0,0,2,5,493910785,1,1,96000000,1
11812,The Sweetest Thing,43000000,68696770,84,4,2002,4,1,2,518990196,1,6,486915395,1,0,0,2,1,65402208,2,1,25696770,1
37950,Charlie St. Cloud,44000000,48190704,99,5,2010,5,2,3,356996528,2,6,223949634,2,0,0,0,2,112044941,1,1,4190704,1
5966,Along Came Polly,42000000,171963386,90,1,2004,4,2,6,264047614,2,8,274285381,2,1,-978790,2,1,-978790,2,1,129963386,1
136795,The Heat,43000000,158674180,117,6,2013,3,1,16,1161068223,1,0,0,1,0,0,2,2,252854354,3,3,115674180,1
