,movie_id,title,budget,revenue,release_date,movie_url
132,8435,A Cock and Bull Story,4750000,3061763,7/17/2005,https://www.the-numbers.com//movie/Tristram-Shandy-A-Cock-and-Bull-Story#tab=summary
133,8457,Drillbit Taylor,40000000,49686263,3/20/2008,https://www.the-numbers.com//movie/Drillbit-Taylor#tab=summary
134,8545,Little Voice,6000000,21787233,11/5/1998,https://www.the-numbers.com//movie/Little-Voice#tab=summary
135,8617,Prom Night,18000000,57193655,4/10/2008,https://www.the-numbers.com//movie/Prom-Night-(2008)#tab=summary
136,8649,Bringing Out the Dead,32000000,16640210,10/22/1999,https://www.the-numbers.com//movie/Bringing-Out-The-Dead#tab=summary
137,8669,Charlie Bartlett,12000000,5295909,2/22/2008,https://www.the-numbers.com//movie/Charlie-Bartlett#tab=summary
138,8675,Orgazmo,1000000,627287,9/6/1997,https://www.the-numbers.com//movie/Orgazmo#tab=summary
139,8744,Albino Alligator,5000000,353480,9/9/1996,https://www.the-numbers.com//movie/Albino-Alligator#tab=summary
140,8838,Mercury Rising,60000000,32983332,4/3/1998,https://www.the-numbers.com//movie/Mercury-Rising#tab=summary
141,8841,The Class,3250000,34114067,9/24/2008,https://www.the-numbers.com//movie/Entre-les-murs#tab=summary
142,8847,Standard Operating Procedure,5000000,332120,2/12/2008,https://www.the-numbers.com//movie/Standard-Operating-Procedure#tab=summary
143,8869,Eight Legged Freaks,30000000,36722311,7/17/2002,https://www.the-numbers.com//movie/Eight-Legged-Freaks#tab=summary
144,8875,Timber Falls,2600000,71248,12/7/2007,https://www.the-numbers.com//movie/Timber-Falls#tab=summary
145,8879,Pale Rider,6900000,41410568,6/28/1985,https://www.the-numbers.com//movie/Pale-Rider#tab=summary
146,8883,Flame & Citron,,,3/25/2008,
147,8942,Wendy and Lucy,300000,1416046,5/22/2008,https://www.the-numbers.com//movie/Wendy-and-Lucy#tab=summary
148,8953,Steamboy,20000000,10468867,7/17/2004,https://www.the-numbers.com//movie/Steamboy#tab=summary
149,8981,Dear Frankie,4600000,3099369,5/18/2004,https://www.the-numbers.com//movie/Dear-Frankie#tab=summary
150,8987,The River Wild,45000000,94215000,9/30/1994,https://www.the-numbers.com//movie/River-Wild-The#tab=summary
151,9022,All the Boys Love Mandy Lane,,,2/15/2008,
152,9026,The Importance of Being Earnest,15000000,8378141,5/17/2002,https://www.the-numbers.com//movie/Importance-of-Being-Earnest-The#tab=summary
153,9027,The Guru,11000000,24150550,8/21/2002,https://www.the-numbers.com//movie/Guru-The#tab=summary
154,9034,The Banger Sisters,10000000,38067218,9/20/2002,https://www.the-numbers.com//movie/Banger-Sisters-The#tab=summary
155,9035,Slither,15250000,12930343,3/31/2006,https://www.the-numbers.com//movie/Slither#tab=summary
156,9043,The Family Stone,18000000,92357499,12/14/2005,https://www.the-numbers.com//movie/Family-Stone-The#tab=summary
157,9045,Amen.,,,2/13/2002,
158,9059,Tales from the Crypt: Demon Knight,12000000,21089146,1/13/1995,https://www.the-numbers.com//movie/Tales-from-the-Crypt-Demon-Knight#tab=summary
159,9074,The Man,20000000,10393696,9/8/2005,https://www.the-numbers.com//movie/Man-The#tab=summary
160,9089,Home for the Holidays,20000000,22119269,11/2/1995,https://www.the-numbers.com//movie/Home-for-the-Holidays#tab=summary
161,9092,Snow White: A Tale of Terror,,,7/18/1997,
162,9096,Medicine Man,40000000,44948240,2/7/1992,https://www.the-numbers.com//movie/Medicine-Man#tab=summary
163,9099,Sgt. Bilko,39000000,37956589,3/29/1996,https://www.the-numbers.com//movie/Sgt-Bilko#tab=summary
164,9104,Buffalo Soldiers,15000000,353743,9/8/2001,https://www.the-numbers.com//movie/Buffalo-Soldiers#tab=summary
