movie_id,title,language_count
34647,Enter the Void,2
52520,Underworld: Awakening,2
7191,Cloverfield,2
23631,Machete,2
8053,The Three Burials of Melquiades Estrada,2
47964,A Good Day to Die Hard,2
23398,Alvin and the Chipmunks: The Squeakquel,2
9281,Witness,2
10135,Road House,2
19457,The Yards,2
7553,Waiting...,2
9884,Collateral Damage,2
23082,The Invention of Lying,2
9893,Sleepover,2
23048,Hot Tub Time Machine,2
10117,Action Jackson,2
22972,Green Zone,2
7870,Down in the Valley,2
7874,Black Snake Moan,2
23629,Sucker Punch,2
37498,Knock Off,2
10105,Saints and Soldiers,2
22970,The Cabin in the Woods,2
47692,Felicia's Journey,2
7973,Caramel,2
22949,Old Dogs,2
10090,Reno 911!: Miami,2
37786,Sex and the City 2,2
9900,Grandma's Boy,2
10077,A Sound of Thunder,2
37931,MacGruber,2
10075,Blood and Chocolate,2
19316,Saving Face,2
23479,The Bad News Bears,2
49040,The Bourne Legacy,2
7501,Knockaround Guys,2
36557,Casino Royale,2
50357,Apollo 18,2
18885,3 Ninjas Kick Back,2
7303,Maid in Manhattan,2
7304,Running Scared,2
7305,Alive,2
10159,The Rundown,2
36643,The World Is Not Enough,2
49852,The Nutcracker: The Untold Story,2
49787,The Reef,2
18975,The Adventures of Pinocchio,2
36647,Blade,2
36648,Blade: Trinity,2
49526,Premium Rush,2
7445,Brothers,2
7446,Tropic Thunder,2
7450,Titan A.E.,2
9292,Hudson Hawk,2
49478,Warriors of Virtue,2
19150,The Crew,2
7461,Vantage Point,2
23531,Whipped,2
9877,Urban Legend,2
49081,The Rocket: The Legend of Rocket Richard,2
19204,The Beyond,2
8374,The Boondock Saints,2
11831,Amistad,2
280,Terminator 2: Judgment Day,2
1574,Chicago,2
146631,U.F.O.,2
224569,Taxman,2
1538,Collateral,2
302,Swimming Pool,2
14181,Boiler Room,2
11191,Mystic Pizza,2
292,Dave Chappelle's Block Party,2
145220,Muppets Most Wanted,2
300168,Dragon Blade,2
1550,Pieces of April,2
1573,Die Hard 2,2
