movie_id,title,budget,revenue,release_date,movie_url
10955,Ripley's Game,30000000,0,2002-09-02,https://www.the-numbers.com//movie/Ripley-s-Game#tab=summary
9449,The Borrowers,29000000,54045832,1997-12-05,https://www.the-numbers.com//movie/Borrowers-The#tab=summary
11499,Frost/Nixon,29000000,28452945,2008-10-15,https://www.the-numbers.com//movie/Frost-Nixon#tab=summary
12506,Cry Freedom,29000000,25899797,1987-11-05,https://www.the-numbers.com//movie/Cry-Freedom#tab=summary
24071,Mumford,28700000,4559569,1999-09-24,https://www.the-numbers.com//movie/Mumford#tab=summary
26320,Taking Woodstock,29000000,10066366,2009-09-03,https://www.the-numbers.com//movie/Taking-Woodstock#tab=summary
10383,Lost Souls,28000000,31320293,2000-10-13,https://www.the-numbers.com//movie/Lost-Souls#tab=summary
9583,Divine Secrets of the Ya-Ya Sisterhood,27000000,73826768,2002-06-07,https://www.the-numbers.com//movie/Divine-Secrets-of-the-Ya-Ya-Sisterhood-The#tab=summary
63574,Joyful Noise,27500000,31157914,2012-01-13,https://www.the-numbers.com//movie/Joyful-Noise#tab=summary
12783,The Duchess,27000000,45160110,2008-09-05,https://www.the-numbers.com//movie/Duchess-The#tab=summary
5126,Martian Child,27000000,9352089,2007-11-02,https://www.the-numbers.com//movie/Martian-Child#tab=summary
31582,Flawless,27000000,4485485,1999-11-26,https://www.the-numbers.com//movie/Flawless-(1999)#tab=summary
41488,The Statement,27000000,1545064,2003-12-12,https://www.the-numbers.com//movie/Statement-The#tab=summary
37028,The Magic Flute,27000000,0,2006-09-07,https://www.the-numbers.com//movie/Magic-Flute-The#tab=summary
1901,In Good Company,26000000,63489752,2004-12-29,https://www.the-numbers.com//movie/In-Good-Company#tab=summary
11509,Silverado,26000000,33200000,1985-07-10,https://www.the-numbers.com//movie/Silverado#tab=summary
31640,Blood and Wine,26000000,1083350,1996-10-03,https://www.the-numbers.com//movie/Blood-and-Wine#tab=summary
2779,The Curse of the Jade Scorpion,26000000,18496522,2001-08-05,https://www.the-numbers.com//movie/Curse-of-the-Jade-Scorpion-The#tab=summary
316002,Accidental Love,26000000,135436,2015-02-10,https://www.the-numbers.com//movie/Accidental-Love#tab=summary
